"Nickel Concentration g/l(p0)","Nickel Concentration g/l(p1)","Nickel Concentration g/l(p2)","Nickel Concentration g/l(p3)","Nickel Concentration g/l(p4)","Nickel Concentration g/l(p5)","Reducer (sodium hypophosphite) Concentration g/l(p0)","Reducer (sodium hypophosphite) Concentration g/l(p1)","Reducer (sodium hypophosphite) Concentration g/l(p2)","Complexing Agent Concentration g/l(p0)","Complexing Agent Concentration g/l(p1)","Complexing Agent Concentration g/l(p2)","Complexing Agent Concentration g/l(p3)","Complexing Agent Concentration g/l(p4)","pH(p0)","pH(p1)","pH(p2)","pH(p3)","pH(p4)","pH(p5)","pH(p6)","Temperature ?(p0)","Temperature ?(p1)","Temperature ?(p2)","Temperature ?(p3)","Temperature ?(p4)","Substrate(p0)","Substrate(p1)","Substrate(p2)","Deposition Rate ?m/h"
0.118118692087013,0.279520724077951,0.344097608884419,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.152450090744102
0.5,0.940958551844098,0.344097608884419,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.221415607985481
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.339382940108893
0.5,0.940958551844098,0.344097608884419,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.114337568058076
0.5,0.5,0.967707173346743,0.379238527115088,0.401398670281673,0.416666666666667,0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.196007259528131
0.5,0.5,0.967707173346743,0.379238527115088,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.348457350272232
0.5,0.5,0.967707173346743,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.5,0.987950036474267,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.43557168784029
0.5,0.5,0.967707173346743,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.112701665379258,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.137931034482759
0.5,0.5,0.967707173346743,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.887298334620742,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.20508166969147
0.5,0.5,0.967707173346743,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.288566243194192
0.5,0.5,0.967707173346743,0.379238527115088,0.401398670281673,0.416666666666667,0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.5,0.978091443733757,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.38475499092559
